,Station Id,Station Name,lat,lon,geometry
188,7199,College St / Markham St,43.6563888888889,-79.4091666666667,POINT (-79.40916666666671 43.6563888888889)
189,7202,Queen St W / York St (City Hall),43.651667,-79.384167,POINT (-79.38416700000001 43.651667)
190,7203,Bathurst St/Queens Quay(Billy Bishop Airport),43.635492,-79.398253,POINT (-79.398253 43.635492)
191,7204,College St / Crawford St,43.655,-79.418889,POINT (-79.41888899999999 43.655)
192,7205,Rusholme Park Cres / College St,43.65277778,-79.42972222,POINT (-79.42972222 43.65277778)
193,7206,Claremont St / Dundas St W,43.651281,-79.411717,POINT (-79.411717 43.651281)
194,7207,Dundas St W / Crawford St,43.649722,-79.416944,POINT (-79.416944 43.649722)
195,7208,80 Clinton St (North of College) - SMART,43.656296,-79.414663,POINT (-79.414663 43.656296)
196,7209,Ossington Ave / Harrison St,43.651111111111106,-79.4213888888889,POINT (-79.4213888888889 43.65111111111111)
197,7210,Mary McCormick Rec Centre (Sheridan Ave),43.6475,-79.43305555555555,POINT (-79.43305555555555 43.6475)
198,7211,Fort York Blvd / Garrison Rd,43.6375,-79.40611111111112,POINT (-79.40611111111112 43.6375)
199,7216,Wellington St W / Stafford St,43.641281,-79.409339,POINT (-79.409339 43.641281)
200,7217,Soho St / Queen St W,43.6494896,-79.393535,POINT (-79.393535 43.6494896)
201,7220,Lake Shore Blvd W / Ellis Ave,43.635932,-79.465083,POINT (-79.46508300000001 43.635932)
202,7221,High Park Subway Station,43.6543604,-79.4655296,POINT (-79.4655296 43.6543604)
203,7222,Sunnyside - Gus Ryder Pool,43.637894,-79.454823,POINT (-79.454823 43.637894)
204,7223,Parkside Dr / Bloor St W - SMART,43.654501,-79.460053,POINT (-79.460053 43.654501)
205,7224,Bloor St W / High Park Ave (High Park),43.6535269,-79.4650569,POINT (-79.46505689999999 43.6535269)
206,7225,Lake Shore Blvd W / Windermere Ave,43.634896,-79.467763,POINT (-79.46776300000001 43.634896)
207,7226,Lake Shore Blvd W / The Boulevard Club,43.636731,-79.444966,POINT (-79.44496599999999 43.636731)
