EndDt_DtFin,MjrCmdtyEn_PrdtPrncplAn,MjCmdtyFr_PrdtPrncplFr,CtgryEn_CtgrieAn,CtgryFr_CtgrieFr,NumHd_NmbTetes
2000-10-28,Cattle,Bovins,Bulls,Taureaux,2421
2000-10-28,Cattle,Bovins,Cows,Vaches,32714
2000-10-28,Cattle,Bovins,Heifers,Genisses,97760
2000-10-28,Cattle,Bovins,Steers,Bouvillons,124573
2000-10-28,Hogs,Porcs,Hogs,Porcs,1574184
2000-10-28,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,29981
2000-11-25,Calves,Veaux,Female,Femelle,3253
2000-11-25,Calves,Veaux,Male,Male,21965
2000-11-25,Cattle,Bovins,Bulls,Taureaux,2656
2000-11-25,Cattle,Bovins,Cows,Vaches,41375
2000-11-25,Cattle,Bovins,Heifers,Genisses,112459
2000-11-25,Cattle,Bovins,Steers,Bouvillons,113865
2000-11-25,Hogs,Porcs,Hogs,Porcs,1628384
2000-11-25,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,29779
2000-12-30,Calves,Veaux,Female,Femelle,3414
2000-12-30,Calves,Veaux,Male,Male,24687
2000-12-30,Cattle,Bovins,Bulls,Taureaux,2282
2000-12-30,Cattle,Bovins,Cows,Vaches,48578
2000-12-30,Cattle,Bovins,Heifers,Genisses,109470
2000-12-30,Cattle,Bovins,Steers,Bouvillons,132783
2000-12-30,Hogs,Porcs,Hogs,Porcs,1867377
2000-12-30,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,41566
2001-01-27,Calves,Veaux,Female,Femelle,3183
2001-01-27,Calves,Veaux,Male,Male,22131
2001-01-27,Cattle,Bovins,Bulls,Taureaux,1647
2001-01-27,Cattle,Bovins,Cows,Vaches,41694
2001-01-27,Cattle,Bovins,Heifers,Genisses,87095
2001-01-27,Cattle,Bovins,Steers,Bouvillons,106724
2001-01-27,Hogs,Porcs,Hogs,Porcs,1575540
2001-01-27,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,25485
2001-02-24,Calves,Veaux,Female,Femelle,2949
2001-02-24,Calves,Veaux,Male,Male,22207
2001-02-24,Cattle,Bovins,Bulls,Taureaux,1345
2001-02-24,Cattle,Bovins,Cows,Vaches,43027
2001-02-24,Cattle,Bovins,Heifers,Genisses,110590
2001-02-24,Cattle,Bovins,Steers,Bouvillons,90222
2001-02-24,Hogs,Porcs,Hogs,Porcs,1571598
2001-02-24,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,23159
2001-03-31,Calves,Veaux,Female,Femelle,3504
2001-03-31,Calves,Veaux,Male,Male,27271
2001-03-31,Cattle,Bovins,Bulls,Taureaux,1870
2001-03-31,Cattle,Bovins,Cows,Vaches,50220
2001-03-31,Cattle,Bovins,Heifers,Genisses,121636
2001-03-31,Cattle,Bovins,Steers,Bouvillons,129053
2001-03-31,Hogs,Porcs,Hogs,Porcs,1953178
2001-03-31,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,39962
2001-04-28,Calves,Veaux,Female,Femelle,2786
2001-04-28,Calves,Veaux,Male,Male,22260
2001-04-28,Cattle,Bovins,Bulls,Taureaux,1936
2001-04-28,Cattle,Bovins,Cows,Vaches,35617
2001-04-28,Cattle,Bovins,Heifers,Genisses,68274
2001-04-28,Cattle,Bovins,Steers,Bouvillons,138282
2001-04-28,Hogs,Porcs,Hogs,Porcs,1540687
2001-04-28,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,47414
2001-05-26,Calves,Veaux,Female,Femelle,2719
