Date,Sessions
2/15/2017,37762
2/14/2017,34670
2/13/2017,39272
2/12/2017,25652
2/11/2017,26702
2/10/2017,38438
2/9/2017,37922
2/8/2017,39052
2/7/2017,40080
2/6/2017,39179
2/5/2017,20798
2/4/2017,22551
2/3/2017,32268
2/2/2017,37339
2/1/2017,37921
1/31/2017,39015
1/30/2017,39507
1/29/2017,25088
1/28/2017,24405
1/27/2017,32562
1/26/2017,37652
1/25/2017,39076
1/24/2017,37971
1/23/2017,38768
1/22/2017,23696
1/21/2017,22628
1/20/2017,30608
1/19/2017,35385
1/18/2017,36920
1/17/2017,38318
1/16/2017,32949
1/15/2017,23375
1/14/2017,22129
1/13/2017,32956
1/12/2017,37146
1/11/2017,36732
1/10/2017,37119
1/9/2017,39011
1/8/2017,25757
1/7/2017,26135
1/6/2017,35386
1/5/2017,38783
1/4/2017,40692
1/3/2017,43463
1/2/2017,32027
1/1/2017,23743
12/31/2016,39074
12/30/2016,31597
12/29/2016,33369
12/28/2016,34456
12/27/2016,34223
12/26/2016,25201
12/25/2016,15313
12/24/2016,14622
12/23/2016,20888
12/22/2016,27642
12/21/2016,30602
12/20/2016,30655
12/19/2016,31518
12/18/2016,19145
12/17/2016,19720
12/16/2016,27420
12/15/2016,31778
12/14/2016,31856
12/13/2016,34522
12/12/2016,34264
12/11/2016,20373
12/10/2016,19291
12/9/2016,28507
12/8/2016,32829
12/7/2016,32784
12/6/2016,34176
12/5/2016,35780
12/4/2016,20420
12/3/2016,19854
12/2/2016,30801
12/1/2016,33871
11/30/2016,35125
11/29/2016,36793
11/28/2016,38443
11/27/2016,24990
11/26/2016,21157
11/25/2016,20945
11/24/2016,15813
11/23/2016,31447
11/22/2016,33085
11/21/2016,34807
11/20/2016,20184
11/19/2016,19623
11/18/2016,30906
11/17/2016,36063
11/16/2016,36329
11/15/2016,36457
11/14/2016,37273
11/13/2016,22351
11/12/2016,19541
11/11/2016,29926
11/10/2016,34932
11/9/2016,31851
11/8/2016,29293
11/7/2016,37369
11/6/2016,22743
11/5/2016,20505
11/4/2016,31201
11/3/2016,35534
11/2/2016,35689
11/1/2016,37328
10/31/2016,34541
10/30/2016,21658
10/29/2016,20999
10/28/2016,31459
10/27/2016,35869
10/26/2016,36796
10/25/2016,38221
10/24/2016,41075
10/23/2016,23207
10/22/2016,20956
10/21/2016,32453
10/20/2016,36208
10/19/2016,36096
10/18/2016,38082
10/17/2016,38668
10/16/2016,23232
10/15/2016,21844
10/14/2016,31928
10/13/2016,34763
10/12/2016,35783
10/11/2016,37278
10/10/2016,37326
10/9/2016,21250
10/8/2016,20428
10/7/2016,31814
10/6/2016,38967
10/5/2016,40868
10/4/2016,37972
10/3/2016,37565
10/2/2016,21906
10/1/2016,20692
9/30/2016,30552
9/29/2016,35534
9/28/2016,36531
9/27/2016,34922
9/26/2016,34970
9/25/2016,22271
9/24/2016,22063
9/23/2016,34018
9/22/2016,36996
9/21/2016,36369
9/20/2016,37013
9/19/2016,39822
9/18/2016,24940
9/17/2016,24882
9/16/2016,34355
9/15/2016,36031
9/14/2016,36826
9/13/2016,37481
9/12/2016,39446
9/11/2016,24252
9/10/2016,23947
9/9/2016,33616
9/8/2016,37718
9/7/2016,37573
9/6/2016,41593
9/5/2016,28646
9/4/2016,25384
9/3/2016,25277
9/2/2016,33608
9/1/2016,38220
8/31/2016,37529
8/30/2016,41563
8/29/2016,39971
8/28/2016,26078
8/27/2016,25575
8/26/2016,34181
8/25/2016,38163
8/24/2016,38013
8/23/2016,39540
8/22/2016,39947
8/21/2016,25063
8/20/2016,24990
8/19/2016,35975
8/18/2016,39149
8/17/2016,38107
8/16/2016,40603
8/15/2016,40487
8/14/2016,24131
8/13/2016,25198
8/12/2016,36695
8/11/2016,40513
8/10/2016,41236
8/9/2016,42834
8/8/2016,44205
8/7/2016,27725
8/6/2016,27704
8/5/2016,36975
8/4/2016,41056
8/3/2016,41698
8/2/2016,42173
8/1/2016,43353
7/31/2016,31257
7/30/2016,28041
7/29/2016,36571
7/28/2016,39860
7/27/2016,39925
7/26/2016,41550
7/25/2016,44566
7/24/2016,31276
7/23/2016,32325
7/22/2016,40807
7/21/2016,44408
7/20/2016,44499
7/19/2016,45322
7/18/2016,45285
7/17/2016,30598
7/16/2016,29829
7/15/2016,39251
7/14/2016,42354
7/13/2016,44650
7/12/2016,43543
7/11/2016,45837
7/10/2016,29900
7/9/2016,30496
7/8/2016,40653
7/7/2016,44915
7/6/2016,49256
7/5/2016,47456
7/4/2016,34751
7/3/2016,32995
7/2/2016,31673
7/1/2016,38990
6/30/2016,42034
6/29/2016,43554
6/28/2016,45975
6/27/2016,48620
6/26/2016,30622
6/25/2016,29219
6/24/2016,40675
6/23/2016,44678
6/22/2016,45425
6/21/2016,46071
6/20/2016,47646
6/19/2016,28358
6/18/2016,30217
6/17/2016,41868
6/16/2016,52262
6/15/2016,44578
6/14/2016,44046
6/13/2016,47258
6/12/2016,31239
6/11/2016,32483
6/10/2016,43050
6/9/2016,46303
6/8/2016,48631
6/7/2016,53069
6/6/2016,53785
6/5/2016,33489
6/4/2016,28938
6/3/2016,39561
6/2/2016,46485
6/1/2016,50925
5/31/2016,44884
5/30/2016,33232
5/29/2016,30129
5/28/2016,30571
5/27/2016,41622
5/26/2016,41618
5/25/2016,41407
5/24/2016,42770
5/23/2016,45720
5/22/2016,29087
5/21/2016,28981
5/20/2016,39998
5/19/2016,46030
5/18/2016,45598
5/17/2016,43671
5/16/2016,43680
5/15/2016,25590
5/14/2016,24911
5/13/2016,36118
5/12/2016,40954
5/11/2016,40703
5/10/2016,43429
5/9/2016,52342
5/8/2016,23493
5/7/2016,25238
5/6/2016,34088
5/5/2016,38885
5/4/2016,39195
5/3/2016,40117
5/2/2016,42881
5/1/2016,25771
4/30/2016,26842
4/29/2016,43141
4/28/2016,38187
4/27/2016,41685
4/26/2016,40930
4/25/2016,44160
4/24/2016,24963
4/23/2016,24332
4/22/2016,33141
4/21/2016,36827
4/20/2016,39040
4/19/2016,41834
4/18/2016,48648
4/17/2016,29415
4/16/2016,23074
4/15/2016,34687
4/14/2016,38711
4/13/2016,40884
4/12/2016,41292
4/11/2016,43595
4/10/2016,26955
4/9/2016,24137
4/8/2016,37247
4/7/2016,41691
4/6/2016,42154
4/5/2016,41891
4/4/2016,42817
4/3/2016,26097
4/2/2016,23561
4/1/2016,34641
3/31/2016,38828
3/30/2016,40629
3/29/2016,42717
3/28/2016,43890
3/27/2016,25905
3/26/2016,25027
3/25/2016,34183
3/24/2016,41195
3/23/2016,41296
3/22/2016,41639
3/21/2016,43769
3/20/2016,28263
3/19/2016,26448
3/18/2016,33701
3/17/2016,36058
3/16/2016,39734
3/15/2016,41919
3/14/2016,41764
3/13/2016,25908
3/12/2016,24906
3/11/2016,37165
3/10/2016,43161
3/9/2016,41412
3/8/2016,41520
3/7/2016,42985
3/6/2016,27445
3/5/2016,29474
3/4/2016,39080
3/3/2016,41372
3/2/2016,41947
3/1/2016,50289
2/29/2016,45804
2/28/2016,25642
2/27/2016,24359
2/26/2016,35402
2/25/2016,40733
2/24/2016,43828
2/23/2016,43884
2/22/2016,44300
2/21/2016,26686
2/20/2016,24866
2/19/2016,37099
2/18/2016,40077
2/17/2016,41088
2/16/2016,42180
2/15/2016,37130
2/14/2016,23710
2/13/2016,23248
2/12/2016,33875
2/11/2016,39589
2/10/2016,38467
2/9/2016,38461
2/8/2016,40244
2/7/2016,22956
2/6/2016,24747
2/5/2016,37690
2/4/2016,40946
2/3/2016,37736
2/2/2016,39168
2/1/2016,41426
1/31/2016,25710
1/30/2016,24119
1/29/2016,34521
1/28/2016,39552
1/27/2016,38317
1/26/2016,38585
1/25/2016,41332
1/24/2016,24414
1/23/2016,24135
1/22/2016,34474
1/21/2016,37613
1/20/2016,39167
1/19/2016,39982
1/18/2016,31748
1/17/2016,24280
1/16/2016,22941
1/15/2016,33412
1/14/2016,36794
1/13/2016,36647
1/12/2016,37487
1/11/2016,38417
1/10/2016,24446
1/9/2016,23541
1/8/2016,34011
1/7/2016,37259
1/6/2016,38614
1/5/2016,38683
1/4/2016,41692
1/3/2016,26208
1/2/2016,24867
1/1/2016,23920
12/31/2015,40536
12/30/2015,37575
12/29/2015,36129
12/28/2015,36501
12/27/2015,24896
12/26/2015,22310
12/25/2015,15778
12/24/2015,18320
12/23/2015,28673
12/22/2015,31695
12/21/2015,32915
12/20/2015,21096
12/19/2015,20256
12/18/2015,28487
12/17/2015,34490
12/16/2015,33021
12/15/2015,34026
12/14/2015,36253
12/13/2015,22001
12/12/2015,21610
12/11/2015,36898
12/10/2015,33638
12/9/2015,34552
12/8/2015,34228
12/7/2015,35069
12/6/2015,20981
12/5/2015,19970
12/4/2015,29979
12/3/2015,33243
12/2/2015,34597
12/1/2015,35024
11/30/2015,36599
11/29/2015,24046
11/28/2015,20295
11/27/2015,20523
11/26/2015,14342
11/25/2015,27207
11/24/2015,32693
11/23/2015,34228
11/22/2015,21451
11/21/2015,22019
11/20/2015,31951
11/19/2015,35618
11/18/2015,35194
11/17/2015,38039
11/16/2015,39752
11/15/2015,22090
11/14/2015,20181
11/13/2015,31603
11/12/2015,36193
11/11/2015,32293
11/10/2015,36751
11/9/2015,38285
11/8/2015,23432
11/7/2015,31776
11/6/2015,37273
11/5/2015,37922
11/4/2015,38619
11/3/2015,43442
11/2/2015,41682
11/1/2015,26906
10/31/2015,28303
10/30/2015,64309
10/29/2015,32741
10/28/2015,35203
10/27/2015,35510
10/26/2015,37102
10/25/2015,23369
10/24/2015,27091
10/23/2015,33650
10/22/2015,35598
10/21/2015,36289
10/20/2015,38570
10/19/2015,38709
10/18/2015,23720
10/17/2015,22057
10/16/2015,34304
10/15/2015,39771
10/14/2015,39136
10/13/2015,38228
10/12/2015,39470
10/11/2015,24729
10/10/2015,22414
10/9/2015,32891
10/8/2015,37157
10/7/2015,37249
10/6/2015,39182
10/5/2015,39256
10/4/2015,23337
10/3/2015,22587
10/2/2015,33936
10/1/2015,39725
9/30/2015,38687
9/29/2015,38863
9/28/2015,39220
9/27/2015,24183
9/26/2015,22911
9/25/2015,33497
9/24/2015,36138
9/23/2015,38654
9/22/2015,39467
9/21/2015,39500
9/20/2015,24837
9/19/2015,22580
9/18/2015,32649
9/17/2015,37796
9/16/2015,37873
9/15/2015,42123
9/14/2015,39980
9/13/2015,25296
9/12/2015,24906
9/11/2015,34363
9/10/2015,39149
9/9/2015,40454
9/8/2015,45078
9/7/2015,34546
9/6/2015,31987
9/5/2015,28952
9/4/2015,37624
9/3/2015,39891
9/2/2015,40877
9/1/2015,43205
8/31/2015,41034
8/30/2015,26402
8/29/2015,25607
8/28/2015,35645
8/27/2015,39373
8/26/2015,39928
8/25/2015,41776
8/24/2015,42566
8/23/2015,30190
8/22/2015,29179
8/21/2015,37121
8/20/2015,40096
8/19/2015,39997
8/18/2015,41519
8/17/2015,41865
8/16/2015,28086
8/15/2015,27313
8/14/2015,35328
8/13/2015,40038
8/12/2015,41269
8/11/2015,42992
8/10/2015,44575
8/9/2015,29554
8/8/2015,28523
8/7/2015,37093
8/6/2015,40894
8/5/2015,42601
8/4/2015,47381
8/3/2015,44142
8/2/2015,29799
8/1/2015,29237
7/31/2015,36957
7/30/2015,40520
7/29/2015,41575
7/28/2015,42142
7/27/2015,45073
7/26/2015,30243
7/25/2015,30134
7/24/2015,38814
7/23/2015,41250
7/22/2015,43038
7/21/2015,44068
7/20/2015,45549
7/19/2015,31296
7/18/2015,30305
7/17/2015,39129
7/16/2015,41979
7/15/2015,42535
7/14/2015,43078
7/13/2015,45021
7/12/2015,30213
7/11/2015,28410
7/10/2015,37570
7/9/2015,41304
7/8/2015,42498
7/7/2015,42197
7/6/2015,45287
